"customerid","contract","tenure","monthlycharges","churn","internetservice","paymentmethod","health_score"
"2486-WYVVE","One year",31,79.3,"No","DSL","Mailed check",80
"3865-ZYKAD","Month-to-month",69,84.9,"No","Fiber optic","Credit card (automatic)",80
"1422-DGUBX","One year",32,79.25,"No","Fiber optic","Electronic check",80
"2999-AANRQ","Two year",21,71.05,"No","DSL","Credit card (automatic)",80
"8668-KNZTI","One year",52,53.75,"No","DSL","Electronic check",80
"0480-KYJVA","Two year",72,24.25,"No","No","Credit card (automatic)",80
"6034-ZRYCV","Two year",72,54.2,"Yes","DSL","Electronic check",90
"9746-YKGXB","One year",52,44.25,"No","DSL","Bank transfer (automatic)",80
"3926-YZVVX","One year",41,50.05,"No","DSL","Bank transfer (automatic)",70
"6000-UKLWI","Two year",41,20.15,"No","No","Mailed check",70
"2079-FBMZK","Month-to-month",6,69.25,"Yes","Fiber optic","Mailed check",40
"6332-FBZRI","One year",67,69.35,"No","DSL","Credit card (automatic)",80
"2096-XOTMO","Month-to-month",16,19.35,"No","No","Mailed check",40
"3266-FTKHB","Two year",17,19.15,"No","No","Mailed check",60
"8221-EQDGL","Month-to-month",35,61,"No","DSL","Mailed check",60
"2346-LOCWC","Two year",58,20.5,"No","No","Credit card (automatic)",80
"6608-QQLVK","Month-to-month",1,50.5,"Yes","DSL","Electronic check",40
"0298-XACET","Two year",52,50.2,"No","DSL","Mailed check",90
"7560-QJAVJ","Two year",70,79.6,"No","DSL","Bank transfer (automatic)",100
"2995-YWTCD","Two year",19,24.9,"No","No","Bank transfer (automatic)",60
"3551-HUAZH","Month-to-month",1,74.4,"Yes","Fiber optic","Electronic check",50
"9137-UIYPG","Month-to-month",35,106.9,"No","Fiber optic","Electronic check",70
"2809-ZMYOQ","Month-to-month",32,101.35,"No","Fiber optic","Electronic check",70
"5084-OOVCJ","Month-to-month",17,55.35,"No","DSL","Credit card (automatic)",50
"0254-WWRKD","One year",67,50.55,"No","DSL","Credit card (automatic)",80
"7727-SHVZV","Month-to-month",9,19.5,"No","No","Bank transfer (automatic)",30
"6302-JGYRJ","One year",31,79.45,"Yes","DSL","Mailed check",80
"5339-PXDVH","Month-to-month",4,90.65,"No","Fiber optic","Electronic check",50
"2205-LPVGL","One year",58,89.85,"No","Fiber optic","Bank transfer (automatic)",90
"8782-NUUOL","One year",60,79,"No","DSL","Mailed check",90
"3685-YLCMQ","One year",58,104.65,"Yes","Fiber optic","Electronic check",90
"7601-WFVZV","Month-to-month",1,19.55,"No","No","Mailed check",30
"4609-KNNWG","Two year",27,19.9,"No","No","Mailed check",70
"4868-AADLV","One year",66,116.25,"No","Fiber optic","Electronic check",90
"9529-OFXHY","Month-to-month",15,87.75,"No","Fiber optic","Bank transfer (automatic)",60
"8634-MPHTR","Month-to-month",47,100.05,"Yes","Fiber optic","Electronic check",70
"2669-QVCRG","Month-to-month",41,81.3,"No","Fiber optic","Credit card (automatic)",70
"2478-EEWWM","Month-to-month",59,44.3,"No","DSL","Electronic check",70
"9174-IHETN","Two year",50,70.35,"No","Fiber optic","Credit card (automatic)",100
"2233-TXSIU","One year",17,44.45,"No","DSL","Credit card (automatic)",60
"9644-UMGQA","Month-to-month",6,49.15,"No","DSL","Electronic check",40
"3256-EZDBI","Month-to-month",51,29.45,"No","DSL","Credit card (automatic)",60
"8761-NSOBC","Month-to-month",44,100.55,"Yes","Fiber optic","Electronic check",70
"0419-YAAPX","Month-to-month",49,85.3,"No","Fiber optic","Credit card (automatic)",80
"8413-VONUO","Month-to-month",2,95.65,"Yes","Fiber optic","Electronic check",50
"0872-CASZJ","One year",59,69.1,"No","DSL","Mailed check",80
"4726-DLWQN","Month-to-month",50,70.35,"No","DSL","Bank transfer (automatic)",80
"8164-OCKUJ","Two year",59,20.6,"No","No","Mailed check",80
"3094-JOJAI","Month-to-month",18,74.15,"No","Fiber optic","Mailed check",60
"9494-MRNYX","Month-to-month",10,75.05,"No","Fiber optic","Electronic check",50
"2599-CZABP","One year",14,44.6,"No","DSL","Electronic check",60
"7945-PRBVF","Two year",35,21.45,"No","No","Bank transfer (automatic)",70
"4544-RXFMG","One year",8,43.45,"No","DSL","Mailed check",50
"0859-YGKFW","One year",18,20.05,"No","No","Bank transfer (automatic)",50
"1150-FTQGN","One year",60,94.15,"No","Fiber optic","Bank transfer (automatic)",90
"9223-UCPVT","Month-to-month",1,94.4,"Yes","Fiber optic","Electronic check",50
"7196-LIWRH","Two year",6,19.55,"No","No","Mailed check",50
"5448-VWNAM","Month-to-month",19,75.9,"No","DSL","Mailed check",60
"1177-XZBJL","One year",53,64.15,"No","DSL","Bank transfer (automatic)",80
"3518-FSTWG","Two year",72,109.55,"No","Fiber optic","Bank transfer (automatic)",100
"9330-VOFSZ","Two year",60,110.8,"No","Fiber optic","Credit card (automatic)",100
"4351-QLCSU","Month-to-month",1,55,"Yes","DSL","Credit card (automatic)",40
"0939-EREMR","Month-to-month",13,53.45,"No","DSL","Mailed check",50
"9389-ACWBI","Month-to-month",5,69.95,"No","Fiber optic","Credit card (automatic)",40
"5419-JPRRN","Month-to-month",1,101.45,"Yes","Fiber optic","Electronic check",50
"3644-QXEHN","Month-to-month",13,97,"No","Fiber optic","Electronic check",60
"2911-IJORQ","One year",37,90.6,"No","DSL","Bank transfer (automatic)",80
"5921-NGYRH","Month-to-month",64,73.55,"No","Fiber optic","Mailed check",80
"2100-BDNSN","Month-to-month",5,67.95,"Yes","DSL","Bank transfer (automatic)",40
"5998-DZLYR","Two year",61,94.35,"No","Fiber optic","Bank transfer (automatic)",100
"0488-GSLFR","Month-to-month",1,69.5,"Yes","Fiber optic","Electronic check",40
"9318-NKNFC","Month-to-month",1,18.85,"Yes","No","Mailed check",30
"3985-HOYPM","One year",26,19.4,"No","No","Mailed check",60
"9728-FTTVZ","Month-to-month",1,69.2,"Yes","Fiber optic","Electronic check",40
"9548-LERKT","Two year",24,19.75,"No","No","Mailed check",60
"6576-FBXOJ","One year",17,54.6,"No","DSL","Electronic check",60
"4310-KEDTB","Month-to-month",26,29.8,"No","DSL","Mailed check",50
"7254-IQWOZ","Month-to-month",1,69.65,"Yes","Fiber optic","Electronic check",40
"2474-BRUCM","Month-to-month",40,101.85,"Yes","Fiber optic","Electronic check",70
"4062-HBMOS","Month-to-month",52,103.05,"No","Fiber optic","Electronic check",80
"0742-NXBGR","Month-to-month",1,82.3,"Yes","Fiber optic","Electronic check",50
"2676-ISHSF","Month-to-month",1,20.3,"No","No","Mailed check",30
"9236-NDUCW","Two year",21,35.1,"No","DSL","Mailed check",70
"4753-PADAS","One year",67,105.7,"No","Fiber optic","Bank transfer (automatic)",90
"6103-QCKFX","Month-to-month",44,56.25,"No","DSL","Bank transfer (automatic)",60
"7781-EWARA","One year",70,60.35,"No","DSL","Electronic check",80
"6110-OHIHY","Month-to-month",3,79.25,"Yes","Fiber optic","Electronic check",50
"7018-FPXHH","Two year",56,59.8,"No","DSL","Bank transfer (automatic)",90
"5889-LFOLL","Month-to-month",13,84.6,"Yes","Fiber optic","Electronic check",60
"5708-EVONK","Month-to-month",58,93.4,"Yes","Fiber optic","Bank transfer (automatic)",80
"8708-XPXHZ","Month-to-month",42,94.2,"Yes","Fiber optic","Electronic check",70
"0616-ATFGB","Month-to-month",1,25.05,"Yes","DSL","Electronic check",30
"0572-ZJKLT","Two year",46,99.65,"No","Fiber optic","Mailed check",90
"5135-RDDQL","Two year",63,50.65,"No","DSL","Bank transfer (automatic)",90
"1353-LJWEM","Month-to-month",11,60.9,"No","DSL","Electronic check",40
"1794-SWWKL","Month-to-month",15,59.65,"No","DSL","Bank transfer (automatic)",50
"6166-YIPFO","Two year",72,64.7,"No","DSL","Electronic check",90
"7016-BPGEU","Month-to-month",29,25.1,"Yes","DSL","Credit card (automatic)",50
"6876-ADESB","Month-to-month",1,48.95,"Yes","DSL","Electronic check",40
"9332-GYWLO","Month-to-month",6,54.85,"No","DSL","Electronic check",40
"1963-SVUCV","Month-to-month",1,45.3,"Yes","DSL","Electronic check",40
"4184-VODJZ","One year",63,91.35,"No","Fiber optic","Electronic check",90
"0220-EBGCE","Month-to-month",2,85.85,"Yes","Fiber optic","Electronic check",50
"1092-WPIVQ","Two year",18,25.1,"No","No","Mailed check",60
"7233-IOQNP","Month-to-month",43,34,"No","DSL","Bank transfer (automatic)",60
"2834-JKOOW","One year",15,45.9,"No","DSL","Mailed check",60
"2754-VDLTR","Month-to-month",10,95.2,"Yes","Fiber optic","Electronic check",50
"2400-FEQME","Two year",55,20.5,"No","No","Mailed check",80
"3190-XFANI","One year",49,100.6,"Yes","Fiber optic","Bank transfer (automatic)",90
"7551-DACSP","Month-to-month",6,55.3,"Yes","DSL","Mailed check",40
"4957-SREEC","Two year",70,20.35,"No","No","Credit card (automatic)",80
"7235-NXZCP","Month-to-month",2,74.85,"Yes","Fiber optic","Mailed check",50
"0230-UBYPQ","One year",63,36.1,"No","DSL","Bank transfer (automatic)",80
"4923-ADWXJ","Month-to-month",25,65.8,"No","DSL","Bank transfer (automatic)",60
"1763-KUAAW","One year",18,20.35,"No","No","Bank transfer (automatic)",50
"1104-TNLZA","Month-to-month",28,105.8,"No","Fiber optic","Electronic check",70
"5195-KPUNQ","One year",53,96.75,"No","Fiber optic","Mailed check",90
"0520-FDVVT","One year",35,102.35,"Yes","Fiber optic","Bank transfer (automatic)",80
"3439-GVUSX","Month-to-month",1,24.4,"No","DSL","Mailed check",30
"1444-VVSGW","One year",70,115.65,"Yes","Fiber optic","Credit card (automatic)",90
"5712-PTIWW","Month-to-month",2,79.85,"Yes","Fiber optic","Electronic check",50
"5949-HGVJL","Month-to-month",26,73.05,"No","DSL","Electronic check",70
"5203-XEHAX","One year",34,64.35,"No","DSL","Electronic check",70
"1635-HDGFT","Two year",19,20.5,"No","No","Mailed check",60
"3315-TOTBP","Month-to-month",15,76,"Yes","Fiber optic","Mailed check",60
"8050-XGRVL","One year",62,54.75,"No","DSL","Credit card (automatic)",80
"6661-HBGWL","Month-to-month",42,104.75,"Yes","Fiber optic","Bank transfer (automatic)",70
"1518-VOWAV","Month-to-month",9,74.65,"Yes","DSL","Electronic check",50
"9828-QHFBK","Month-to-month",24,51.15,"No","DSL","Electronic check",50
"3908-MKIMJ","Two year",68,41.95,"No","DSL","Electronic check",90
"5012-YSPJJ","Month-to-month",31,54.35,"No","DSL","Mailed check",60
"5909-ECHUI","Month-to-month",1,56.25,"Yes","DSL","Electronic check",40
"1309-BXVOQ","Month-to-month",21,106.1,"Yes","Fiber optic","Electronic check",60
"6728-VOIFY","One year",63,96,"No","Fiber optic","Electronic check",90
"9317-WZPGV","Month-to-month",2,79.75,"Yes","Fiber optic","Bank transfer (automatic)",50
"4891-NLUBA","Two year",61,61.45,"No","DSL","Bank transfer (automatic)",90
"2856-HYAPG","Month-to-month",1,68.65,"Yes","Fiber optic","Electronic check",40
"8969-PRHFK","One year",18,19.65,"No","No","Mailed check",50
"0661-KQHNK","One year",6,19,"No","No","Credit card (automatic)",40
"8709-KRDVL","Month-to-month",33,100,"No","Fiber optic","Electronic check",70
"4488-PSYCG","Month-to-month",16,20.25,"Yes","No","Bank transfer (automatic)",40
"1427-VERSM","Month-to-month",56,98.7,"No","Fiber optic","Electronic check",80
"9801-NOSHQ","One year",23,19.8,"No","No","Mailed check",50
"6339-YPSAH","Month-to-month",9,73.8,"No","Fiber optic","Electronic check",50
"3621-CEOVK","Month-to-month",14,100.2,"Yes","Fiber optic","Electronic check",60
"6906-ANDWJ","Month-to-month",15,74.9,"Yes","Fiber optic","Bank transfer (automatic)",60
"2159-TURXX","Month-to-month",5,20.05,"No","No","Credit card (automatic)",30
"1548-FEHVL","Month-to-month",61,106.2,"No","Fiber optic","Electronic check",80
"3795-CAWEX","Two year",70,116.55,"No","Fiber optic","Credit card (automatic)",100
"6215-NQCPY","Month-to-month",15,99.7,"No","Fiber optic","Electronic check",60
"5647-URDKA","Two year",8,19.7,"No","No","Mailed check",50
"2229-DPMBI","Two year",8,19.5,"No","No","Mailed check",50
"9626-WEQRM","Month-to-month",4,29.15,"No","DSL","Mailed check",30
"2188-SXWVT","One year",34,55,"No","DSL","Mailed check",70
"6258-PVZWJ","Two year",68,90.8,"No","DSL","Credit card (automatic)",100
"1094-BKOSX","One year",45,51,"No","DSL","Bank transfer (automatic)",70
"6969-MVBAI","Month-to-month",9,90.1,"No","Fiber optic","Electronic check",50
"2978-XXSOG","Month-to-month",22,59.05,"No","DSL","Mailed check",50
"2342-CKIAO","Month-to-month",2,20.3,"No","No","Mailed check",30
"6953-PBDIN","Two year",70,72.95,"No","DSL","Bank transfer (automatic)",100
"3898-BSJYF","One year",10,73.55,"No","DSL","Credit card (automatic)",60
"3938-YFPXD","Two year",72,84.3,"No","DSL","Credit card (automatic)",100
"7696-AMHOD","One year",49,78,"No","DSL","Credit card (automatic)",90
"2453-SAFNS","One year",54,72.1,"No","DSL","Mailed check",90
"9558-IHEZX","Two year",71,106.75,"No","Fiber optic","Credit card (automatic)",100
"9617-UDPEU","One year",22,19.25,"No","No","Mailed check",50
"6340-DACFT","Two year",50,20.55,"No","No","Credit card (automatic)",80
"4955-VCWBI","One year",43,20,"No","No","Mailed check",60
"6813-GZQCG","Two year",45,24.65,"No","No","Credit card (automatic)",70
"7426-GSWPO","Month-to-month",64,103.5,"No","Fiber optic","Bank transfer (automatic)",80
"3389-KTRXV","Two year",23,23.85,"No","No","Mailed check",60
"3118-UHVVQ","Two year",68,25.8,"No","No","Credit card (automatic)",80
"1031-IIDEO","Month-to-month",1,70.85,"Yes","Fiber optic","Electronic check",50
"5832-XKAES","Month-to-month",2,69.8,"Yes","Fiber optic","Credit card (automatic)",40
"3205-MXZRA","One year",26,59.45,"No","DSL","Credit card (automatic)",70
"4701-AHWMW","Month-to-month",55,54.55,"Yes","DSL","Bank transfer (automatic)",70
"8317-BVKSO","Month-to-month",14,20.05,"No","No","Electronic check",40
"5702-KVQRD","Two year",71,82.55,"No","DSL","Electronic check",100
"0083-PIVIK","One year",64,81.25,"No","DSL","Electronic check",90
"9210-IAHGH","Month-to-month",7,70.75,"Yes","DSL","Credit card (automatic)",50
"6169-PGNCD","Two year",57,74.3,"No","DSL","Credit card (automatic)",100
"0023-XUOPT","Month-to-month",13,94.1,"Yes","Fiber optic","Electronic check",60
"4592-IWTJI","Month-to-month",3,29.7,"Yes","DSL","Credit card (automatic)",30
"4909-JOUPP","Two year",72,109.7,"No","Fiber optic","Credit card (automatic)",100
"4657-FWVFY","Month-to-month",40,96.35,"No","Fiber optic","Credit card (automatic)",70
"2257-BOVXD","Month-to-month",14,66.6,"No","DSL","Credit card (automatic)",50
"7729-JTEEC","Month-to-month",2,44.5,"No","DSL","Electronic check",40
"7632-MNYOY","One year",66,110.9,"Yes","Fiber optic","Credit card (automatic)",90
"6518-LGAOV","Month-to-month",38,105,"Yes","Fiber optic","Electronic check",70
"7242-QZLXF","Month-to-month",1,25.3,"Yes","DSL","Electronic check",30
"4576-CSAJH","One year",22,55.15,"Yes","DSL","Credit card (automatic)",60
"1000-AJSLD","Month-to-month",1,20.1,"Yes","No","Mailed check",30
"9696-RMYBA","Month-to-month",5,80.1,"No","Fiber optic","Mailed check",50
"8690-UPCZI","One year",29,69.05,"No","DSL","Bank transfer (automatic)",70
"1062-LHZOD","Month-to-month",1,69.9,"Yes","Fiber optic","Mailed check",40
"9770-LXDBK","Month-to-month",3,20.4,"No","No","Mailed check",30
"4086-WITJG","Two year",71,19.7,"No","No","Credit card (automatic)",80
"8344-WFMFH","Month-to-month",9,50.1,"No","DSL","Electronic check",40
"9600-NAXZN","Month-to-month",43,101.4,"Yes","Fiber optic","Electronic check",70
"8822-KNBHV","One year",48,83.45,"No","DSL","Credit card (automatic)",80
"8404-FYDIB","Month-to-month",26,86.65,"No","Fiber optic","Credit card (automatic)",70
"2791-SFVEW","Month-to-month",9,20.15,"No","No","Bank transfer (automatic)",30
"6457-USBER","Month-to-month",1,80.8,"Yes","Fiber optic","Electronic check",50
"6762-NSODU","Two year",46,19.4,"No","No","Credit card (automatic)",70
"4662-EKDPQ","Month-to-month",2,62.05,"Yes","DSL","Bank transfer (automatic)",40
"9248-OJYKK","Month-to-month",1,76.45,"Yes","Fiber optic","Electronic check",50
"9888-ZCUMM","Two year",64,60.05,"No","DSL","Bank transfer (automatic)",90
"3398-FSHON","Month-to-month",12,91.3,"Yes","Fiber optic","Electronic check",50
"3319-DWOEP","Month-to-month",6,95.75,"Yes","Fiber optic","Electronic check",50
"1074-WVEVG","One year",59,20.35,"No","No","Mailed check",70
"9979-RGMZT","One year",7,94.05,"No","Fiber optic","Mailed check",60
"6437-UDQJM","Two year",72,84.1,"No","DSL","Credit card (automatic)",100
"1226-IENZN","Month-to-month",16,78.75,"No","Fiber optic","Electronic check",60
"2108-GLPQB","Month-to-month",25,55.55,"No","DSL","Credit card (automatic)",60
"9259-PACGQ","Month-to-month",34,62.65,"Yes","DSL","Electronic check",60
"4415-IJZTP","Month-to-month",1,74.5,"Yes","Fiber optic","Electronic check",50
"1465-VINDH","Month-to-month",10,102.1,"Yes","Fiber optic","Credit card (automatic)",50
"5474-LAMUQ","One year",24,20.1,"No","No","Mailed check",50
"3468-DRVQJ","One year",10,70.3,"No","DSL","Electronic check",60
"1122-YJBCS","One year",69,53.65,"No","DSL","Credit card (automatic)",80
"4990-ALDGW","Two year",57,20.75,"No","No","Mailed check",80
"4816-OKWNX","One year",50,103.4,"No","Fiber optic","Bank transfer (automatic)",90
"3315-IKYZQ","One year",28,50.8,"No","DSL","Mailed check",70
"2810-FTLEM","Month-to-month",16,50.15,"Yes","DSL","Electronic check",50
"4747-LCAQL","Month-to-month",25,79,"No","DSL","Mailed check",70
"3411-WLRSQ","Month-to-month",3,74.6,"No","Fiber optic","Bank transfer (automatic)",50
"0898-XCGTF","One year",61,96.5,"No","Fiber optic","Bank transfer (automatic)",90
"8006-PYCSW","Month-to-month",2,20.1,"No","No","Mailed check",30
"8249-THVEC","One year",51,19.4,"No","No","Mailed check",70
"8722-PRFDV","Two year",71,77.55,"No","DSL","Credit card (automatic)",100
"2164-SOQXL","Month-to-month",20,20.05,"No","No","Mailed check",40
"4020-KIUDI","Month-to-month",6,19.85,"No","No","Credit card (automatic)",30
"5850-BDWCY","Month-to-month",6,20.2,"No","No","Mailed check",30
"2038-YSEZE","Month-to-month",29,67.45,"No","DSL","Mailed check",60
"0827-ITJPH","Two year",36,18.55,"No","No","Credit card (automatic)",70
"8799-OXZMD","Month-to-month",28,29.75,"No","DSL","Mailed check",50
"1925-TIBLE","Month-to-month",7,86.5,"Yes","Fiber optic","Electronic check",50
"1705-GUHPV","Two year",63,24.2,"No","No","Mailed check",80
"4779-ZGICK","Two year",48,23.55,"No","No","Mailed check",70
"0048-PIHNL","One year",49,20.45,"No","No","Bank transfer (automatic)",70
"0818-OCPZO","Month-to-month",27,81.45,"Yes","Fiber optic","Electronic check",70
"3967-KXAPS","Two year",72,92.3,"No","DSL","Credit card (automatic)",100
"1447-GIQMR","Month-to-month",1,69.15,"Yes","Fiber optic","Electronic check",40
"3704-IEAXF","Two year",72,53.65,"No","DSL","Credit card (automatic)",90
"6810-VCAEX","One year",47,39.65,"No","DSL","Credit card (automatic)",70
"0674-EYYZV","Month-to-month",1,54.65,"No","DSL","Electronic check",40
"4480-MBMLB","One year",36,104.8,"No","Fiber optic","Bank transfer (automatic)",80
"1395-OFUWC","Month-to-month",43,29.3,"No","DSL","Credit card (automatic)",50
"0822-QGCXA","Month-to-month",27,83.85,"No","DSL","Electronic check",70
"0872-NXJYS","Month-to-month",9,79.55,"Yes","Fiber optic","Electronic check",50
"2832-KJCRD","Month-to-month",38,103.65,"No","Fiber optic","Electronic check",70
"3588-WSTTJ","Month-to-month",35,99.05,"No","Fiber optic","Electronic check",70
"4075-WKNIU","Two year",0,73.35,"No","DSL","Mailed check",70
"5090-EMGTC","Two year",59,100.05,"No","Fiber optic","Mailed check",100
"2346-CZYIL","Two year",27,20.35,"No","No","Credit card (automatic)",70
"3798-EPWRR","Month-to-month",2,43.95,"No","DSL","Electronic check",40
"6258-NGCNG","Month-to-month",7,23.5,"No","No","Mailed check",30
"4186-ZBUEW","One year",36,70.7,"No","DSL","Mailed check",80
"5274-XHAKY","Month-to-month",41,94.3,"No","Fiber optic","Bank transfer (automatic)",70
"1442-BQPVU","Month-to-month",13,29.15,"No","DSL","Electronic check",40
"3978-YNKDD","Two year",19,20.85,"No","No","Credit card (automatic)",60
"4940-KHCWD","Two year",60,37.7,"No","DSL","Bank transfer (automatic)",90
"9412-ARGBX","Two year",48,95.5,"Yes","Fiber optic","Mailed check",90
"1389-CXMLU","Month-to-month",3,91.05,"Yes","Fiber optic","Electronic check",50
"9589-ABEPT","Two year",69,92.45,"No","Fiber optic","Mailed check",100
"9388-ZEYVT","One year",43,44.15,"No","DSL","Electronic check",70
"0305-SQECB","One year",11,36.05,"No","DSL","Mailed check",50
"7605-SNLQG","Month-to-month",45,50.25,"No","DSL","Credit card (automatic)",60
"4670-TABXH","Two year",72,109.75,"No","Fiber optic","Credit card (automatic)",100
"5561-NWEVX","Month-to-month",2,79.2,"Yes","Fiber optic","Electronic check",50
"0064-SUDOG","Two year",12,20.3,"No","No","Bank transfer (automatic)",50
"8561-NMTBD","One year",67,112.35,"No","Fiber optic","Credit card (automatic)",90
"5161-XEUVX","Two year",37,94.3,"No","Fiber optic","Mailed check",90
"8292-FRFZQ","One year",39,41.15,"No","DSL","Bank transfer (automatic)",70
"8591-NXRCV","Month-to-month",41,74.65,"No","DSL","Bank transfer (automatic)",70
"7895-VONWT","Month-to-month",25,48.25,"No","DSL","Electronic check",60
"4526-RMTLL","Two year",8,76.15,"No","DSL","Credit card (automatic)",70
"6253-GNHWH","Two year",71,71.1,"No","DSL","Mailed check",100
"4566-NECEV","Month-to-month",5,96.55,"No","Fiber optic","Electronic check",50
"8080-POTJR","One year",30,79.3,"No","DSL","Credit card (automatic)",80
"6906-MPARY","One year",40,89.6,"No","Fiber optic","Credit card (automatic)",80
"3662-FXJFO","Two year",54,20.5,"No","No","Mailed check",80
"8107-RZLNV","Two year",72,106.3,"No","Fiber optic","Bank transfer (automatic)",100
"0516-OOHAR","One year",28,100.35,"No","Fiber optic","Bank transfer (automatic)",80
"2027-CWDNU","Month-to-month",18,85.6,"No","Fiber optic","Electronic check",60
"2737-WFVYW","Month-to-month",2,45.25,"Yes","DSL","Electronic check",40
"9912-OMZDS","One year",59,106.15,"No","Fiber optic","Electronic check",90
"3733-ZEECP","Month-to-month",22,51.1,"No","DSL","Electronic check",50
"7878-RTCZG","Month-to-month",1,19.9,"No","No","Mailed check",30
"2452-MRMZF","Two year",72,25.7,"No","No","Credit card (automatic)",80
"2272-QAGFO","Month-to-month",14,74.3,"Yes","Fiber optic","Electronic check",60
"7103-IPXPJ","One year",50,99.4,"No","Fiber optic","Electronic check",90
"4342-HFXWS","One year",48,69.7,"No","DSL","Bank transfer (automatic)",70
"3545-CNWRG","Month-to-month",49,98.35,"No","Fiber optic","Electronic check",80
"1785-BPHTP","Month-to-month",28,85.45,"No","Fiber optic","Electronic check",70
"4989-LIXVT","Month-to-month",68,95.9,"No","Fiber optic","Electronic check",80
"7315-WYOAW","Month-to-month",13,100.75,"No","Fiber optic","Electronic check",60
"1173-XZPYF","Month-to-month",11,89.2,"No","Fiber optic","Electronic check",50
"9850-OWRHQ","Month-to-month",3,74.1,"Yes","Fiber optic","Credit card (automatic)",50
"3768-NLUBH","Month-to-month",57,100.6,"Yes","Fiber optic","Electronic check",80
"8676-TRMJS","Month-to-month",3,75,"Yes","Fiber optic","Mailed check",50
"2509-TFPJU","Two year",72,25.75,"No","No","Credit card (automatic)",80
"9530-GRMJG","Two year",70,84.1,"No","DSL","Electronic check",100
"6898-RBTLU","Two year",49,79.3,"No","DSL","Bank transfer (automatic)",100
"5481-NTDOH","One year",67,107.05,"No","Fiber optic","Credit card (automatic)",90
"2068-WWXQZ","Two year",46,20.05,"No","No","Bank transfer (automatic)",70
"7359-SSBJK","Two year",64,70.2,"Yes","DSL","Credit card (automatic)",100
"2061-VVFST","Month-to-month",37,19.5,"No","No","Bank transfer (automatic)",50
"0685-MLYYM","Month-to-month",2,70.75,"Yes","Fiber optic","Electronic check",50
"0749-IRGQE","Month-to-month",13,45.3,"No","DSL","Electronic check",50
"2380-DAMQP","Two year",72,115.15,"No","Fiber optic","Electronic check",100
"2256-YLYLP","Two year",68,72.95,"No","DSL","Bank transfer (automatic)",100
"1272-ILHFG","One year",15,19.65,"No","No","Mailed check",50
"0164-XAIRP","Two year",24,19.55,"No","No","Bank transfer (automatic)",60
"5666-CYCYZ","Month-to-month",24,89.55,"No","Fiber optic","Electronic check",60
"4011-ARPHK","Month-to-month",27,50.35,"No","DSL","Mailed check",60
"8182-PNAGI","Month-to-month",12,50.25,"Yes","DSL","Bank transfer (automatic)",40
"6365-HITVU","Two year",71,87.25,"No","DSL","Credit card (automatic)",100
"7558-IMLMT","Two year",67,20.8,"No","No","Mailed check",80
"9488-FYQAU","Two year",63,109.25,"No","Fiber optic","Bank transfer (automatic)",100
"3590-TCXTB","Month-to-month",1,20.35,"No","No","Mailed check",30
"6994-KERXL","Month-to-month",4,55.9,"No","DSL","Electronic check",40
"7957-RYHQD","Month-to-month",40,79.2,"Yes","Fiber optic","Credit card (automatic)",70
"2180-DXNEG","Month-to-month",12,96,"Yes","Fiber optic","Electronic check",50
"1960-UOTYM","Two year",52,79.2,"No","DSL","Electronic check",100
"2740-JFBOK","Month-to-month",10,24,"No","No","Electronic check",30
"6500-JVEGC","One year",68,101.35,"No","Fiber optic","Bank transfer (automatic)",90
"5515-AKOAJ","Month-to-month",54,100.1,"Yes","Fiber optic","Electronic check",80
"8976-OQHGT","Month-to-month",4,56.5,"Yes","DSL","Mailed check",40
"5245-VDBUR","One year",52,35.45,"No","DSL","Mailed check",80
"6230-BSUXY","Month-to-month",1,85,"Yes","Fiber optic","Electronic check",50
"8469-SNFFH","One year",70,79.4,"No","DSL","Bank transfer (automatic)",90
"2144-ESWKO","One year",43,35.2,"No","DSL","Credit card (automatic)",70
"1241-FPMOF","Two year",52,19.65,"No","No","Mailed check",80
"9928-BZVLZ","Two year",12,49.85,"No","DSL","Mailed check",60
"4114-QMKVN","One year",56,68.75,"No","DSL","Bank transfer (automatic)",80
"2775-SEFEE","Two year",0,61.9,"No","DSL","Bank transfer (automatic)",60
"9003-CPATH","Month-to-month",42,79.9,"No","Fiber optic","Electronic check",70
"1754-GKYPY","Month-to-month",22,89.75,"No","Fiber optic","Bank transfer (automatic)",60
"5294-CDGWY","One year",51,59.3,"Yes","DSL","Electronic check",80
"7956-XQWGU","Month-to-month",27,19.4,"No","No","Credit card (automatic)",50
"1591-MQJTP","One year",51,93.65,"No","Fiber optic","Bank transfer (automatic)",90
"5295-PCJOO","Month-to-month",4,49.4,"Yes","DSL","Electronic check",40
"2369-FEVNO","Month-to-month",1,19.9,"No","No","Mailed check",30
"9863-JZAIC","Month-to-month",35,55,"Yes","DSL","Mailed check",60
"7471-MQPOS","One year",71,72.9,"No","DSL","Bank transfer (automatic)",90
"7660-HDPJV","Month-to-month",1,69.2,"Yes","Fiber optic","Electronic check",40
"5115-SQAAU","Two year",69,25.6,"No","No","Bank transfer (automatic)",80
"9845-QOMAD","One year",14,19.75,"No","No","Mailed check",50
"7672-VFMXZ","Month-to-month",57,55.7,"No","DSL","Electronic check",70
"9739-JLPQJ","Two year",72,117.5,"No","Fiber optic","Credit card (automatic)",100
"9916-AYHTC","Two year",48,19.85,"No","No","Credit card (automatic)",70
"3855-ONCAR","Month-to-month",4,78.9,"No","Fiber optic","Mailed check",50
